text,label
"Easy work from home, earn $500 per day. No experience needed. Click here to register.",1
"Earn massive income daily with zero effort. We need interns for simple data entry. Pay is $100/hr.",1
"Software Engineer Intern at TechCorp. Requirements: Python, Flask, SQL. Full-time position.",0
"Data Science Internship at GlobalData. Skills: Machine Learning, Scikit-learn, Pandas.",0
"URGENT: Win an internship at Google! Pay $50 registration fee to get an interview letter.",1
"Research Intern at University of Science. Focus on NLP and Computer Vision. Stipend included.",0
"Immediate opening for HR intern. Must have good communication skills and handle recruitment.",0
"Congratulations! You are selected for a free internship. Just provide your bank details for stipend.",1
"Backend Developer Intern. 3 months duration. Stack: Node.js, Express, MongoDB.",0
"Get certified internship in 1 day. Pay processing fee and get your certificate immediately.",1
"Web Development Intern at CreativeAgency. HTML, CSS, React skills required.",0
"Looking for Marketing Interns. Responsibilities include social media management and lead generation.",0
"Work 1 hour a day and earn $2000 per month. Limited slots available! DM now.",1
"Summer Internship 2026. Open for 3rd and 4th year CSE students. Direct interview process.",0
"Paid Internship Opportunity. Join our sales team. Commissions based on performance.",0
"Your profile matches our high-paying job offer. Pay hidden charges to proceed with onboarding.",1
"Urgent hiring for online job. Work 2-3 hours and earn $500. No experience, no resume needed. Call now.",1
"Your resume has been shortlisted for a high-paying international role. Please pay $100 for visa processing.",1
"Earn $200 per day by simply typing Captchas. Join our telegram group for more details.",1
"Software Developer Intern at Microsoft. 6 months. Proficient in C#, .NET, and SQL.",0
"Machine Learning Intern at NVIDIA. Requirements: Deep Learning, PyTorch, C++.",0
"Unclaimed rewards from your previous internship. Click the link to claim your $500 stipend.",1
"Marketing Specialist Intern. Remote. Responsibilities: LinkedIn outreach and SEO.",0
"Congratulations! You won a lottery for a Google Internship. Send bank details for confirmation.",1
"App Development Intern. Flutter/Dart. Build and maintain mobile applications.",0
"Quick cash for interns! Just sign up and refer 10 friends to get $100 instantly.",1
"Cybersecurity Intern. Knowledge of OWASP, Pentesting, and Linux is a plus.",0
"Get an internship at Amazon without an interview. Pay $40 as a slot reservation fee.",1
"Full Stack Developer Intern. MERN stack. Opportunity for PPO based on performance.",0
"Job offer from Apple! No experience. Remote. High salary. Pay $20 for training materials.",1
"Content Writing Intern. Excellent English skills and ability to meet deadlines.",0
"Earn $1000/week by watching videos. Exclusive internship for college students. Join now.",1
